# english.csv
Key,Value
window_title,Wayback When
settings_dialog_title,Settings
themes_dialog_title,Themes
url_input_title,URL Input
proxy_config_title,Proxy Configuration
progress_stats_title,Progress Statistics
crawling_queue_title,Crawling Queue
archiving_queue_title,Archiving Queue
add_url_btn,Add URL
start_btn,▶ Start
pause_btn,⏸ Pause
resume_btn,⏯ Resume
stop_btn,⏹ Stop
save_proxy_btn,Save Proxies
clear_proxy_btn,Clear Proxies
file_menu,&File
settings_action,&Settings
themes_menu,&Themes
texts_menu,&Languages
url_placeholder,Enter URL (e.g., example.com)
proxy_label,Proxies (one per line):
archiving_progress_label,Archiving Progress:
stats_format,Status: {status} | Archived: {archived} | Skipped: {skipped} | Failed: {failed} | Total: {total}
no_urls_warning,No URLs to process
crawler_running_warning,Crawler is already running
settings_button_tooltip,Open Menu
theme_preview_unavailable,No preview\navailable
theme_preview_failed,Failed to load image
themes_title,Themes
theme_apply_button,Apply
text_editor_action,&Change Languages
